"Biome","Timeslice_younger","Timeslice_older","Reconstruction","Simulation"
"TRFO",0,0.5,0.183673469387755,0.0204081632653061
"TRFO",0.5,1,0.211538461538462,0.0384615384615385
"TRFO",1,1.5,0.224489795918367,0
"TRFO",1.5,2,0.132075471698113,0
"TRFO",2,2.5,0.140350877192982,0
"TRFO",2.5,3,0.218181818181818,0
"TRFO",3,3.5,0.166666666666667,0
"TRFO",3.5,4,0.153846153846154,0.0384615384615385
"TRFO",4,4.5,0.195652173913043,0.0217391304347826
"TRFO",4.5,5,0.111111111111111,0.0444444444444444
"TRFO",5,5.5,0.0681818181818182,0.0454545454545455
"TRFO",5.5,6,0.135135135135135,0.027027027027027
"TRFO",6,6.5,0.162162162162162,0.027027027027027
"TRFO",6.5,7,0.176470588235294,0.0588235294117647
"TRFO",7,7.5,0.147058823529412,0
"TRFO",7.5,8,0.151515151515152,0.121212121212121
"TRFO",8,8.5,0.166666666666667,0.0666666666666667
"TRFO",8.5,9,0.290322580645161,0.0645161290322581
"TRFO",9,9.5,0.125,0.0416666666666667
"TRFO",9.5,10,0.181818181818182,0.0454545454545455
"TRFO",10,10.5,0.210526315789474,0.157894736842105
"TRFO",10.5,11,0.105263157894737,0.0526315789473684
"TRFO",11,11.5,0.222222222222222,0.111111111111111
"TRFO",11.5,12,0.0625,0.1875
"TRFO",12,12.5,0.352941176470588,0.235294117647059
"TRFO",12.5,13,0.3,0.3
"TRFO",13,13.5,0.105263157894737,0.473684210526316
"TRFO",13.5,14,0.166666666666667,0.0555555555555556
"TRFO",14,14.5,0.157894736842105,0.315789473684211
"TRFO",14.5,15,0.111111111111111,0.111111111111111
"TRFO",15,15.5,0.0714285714285714,0.142857142857143
"TRFO",15.5,16,0,0.0666666666666667
"TRFO",16,16.5,0.230769230769231,0
"TRFO",16.5,17,0.142857142857143,0
"TRFO",17,17.5,0.266666666666667,0.0666666666666667
"TRFO",17.5,18,0.0769230769230769,0
"TRFO",18,18.5,0.333333333333333,0
"TRFO",18.5,19,0.181818181818182,0
"TRFO",19,19.5,0.0909090909090909,0
"TRFO",19.5,20,0.1,0
"TRFO",20,20.5,0.166666666666667,0
"TRFO",20.5,21,0,0.1
"WTFO",0,0.5,0.210526315789474,0.0263157894736842
"WTFO",0.5,1,0.173913043478261,0.0652173913043478
"WTFO",1,1.5,0.1875,0.0208333333333333
"WTFO",1.5,2,0.14,0
"WTFO",2,2.5,0.235294117647059,0.0784313725490196
"WTFO",2.5,3,0.176470588235294,0.0784313725490196
"WTFO",3,3.5,0.145833333333333,0
"WTFO",3.5,4,0.0952380952380952,0.0476190476190476
"WTFO",4,4.5,0.219512195121951,0.0487804878048781
"WTFO",4.5,5,0.133333333333333,0.111111111111111
"WTFO",5,5.5,0.1,0.05
"WTFO",5.5,6,0.176470588235294,0
"WTFO",6,6.5,0.114285714285714,0
"WTFO",6.5,7,0.151515151515152,0.0303030303030303
"WTFO",7,7.5,0.151515151515152,0.0303030303030303
"WTFO",7.5,8,0.214285714285714,0.0714285714285714
"WTFO",8,8.5,0.230769230769231,0.0769230769230769
"WTFO",8.5,9,0.2,0.04
"WTFO",9,9.5,0.285714285714286,0.142857142857143
"WTFO",9.5,10,0.277777777777778,0.0555555555555556
"WTFO",10,10.5,0.357142857142857,0
"WTFO",10.5,11,0.2,0
"WTFO",11,11.5,0.153846153846154,0.153846153846154
"WTFO",11.5,12,0.153846153846154,0.307692307692308
"WTFO",12,12.5,0.181818181818182,0.0909090909090909
"WTFO",12.5,13,0.153846153846154,0.307692307692308
"WTFO",13,13.5,0.454545454545455,0
"WTFO",13.5,14,0.25,0
"WTFO",14,14.5,0,0.0909090909090909
"WTFO",14.5,15,0.1,0.2
"WTFO",15,15.5,0.230769230769231,0
"WTFO",15.5,16,0.166666666666667,0
"WTFO",16,16.5,0.181818181818182,0.181818181818182
"WTFO",16.5,17,0.0909090909090909,0
"WTFO",17,17.5,0.3,0.1
"WTFO",17.5,18,0.25,0
