"Biome","Timeslice_younger","Timeslice_older","EMD"
"TRFO",0,0.5,0.27504688501358
"TRFO",0.5,1,0.245324954390526
"TRFO",1,1.5,0.243674129247665
"TRFO",1.5,2,0.224724978208542
"TRFO",2,2.5,0.240897253155708
"TRFO",2.5,3,0.248767405748367
"TRFO",3,3.5,0.250646434724331
"TRFO",3.5,4,0.254182763397694
"TRFO",4,4.5,0.240710511803627
"TRFO",4.5,5,0.237524196505547
"TRFO",5,5.5,0.294897526502609
"TRFO",5.5,6,0.219961330294609
"TRFO",6,6.5,0.2523373067379
"TRFO",6.5,7,0.260081171989441
"TRFO",7,7.5,0.252693191170692
"TRFO",7.5,8,0.258486092090607
"TRFO",8,8.5,0.212668664753437
"TRFO",8.5,9,0.213918283581734
"TRFO",9,9.5,0.308927208185196
"TRFO",9.5,10,0.255222380161286
"TRFO",10,10.5,0.197823479771614
"TRFO",10.5,11,0.202090159058571
"TRFO",11,11.5,0.312064692378044
"TRFO",11.5,12,0.290893092751503
"TRFO",12,12.5,0.249446019530296
"TRFO",12.5,13,0.313147142529487
"TRFO",13,13.5,0.272443413734436
"TRFO",13.5,14,0.284907400608063
"TRFO",14,14.5,0.225942745804787
"TRFO",14.5,15,0.291363880038262
"TRFO",15,15.5,0.223357878625392
"TRFO",15.5,16,0.286534637212753
"TRFO",16,16.5,0.232987388968468
"TRFO",16.5,17,0.245915003120899
"TRFO",17,17.5,0.242094486951828
"TRFO",17.5,18,0.19954688847065
"TRFO",18,18.5,0.231923460960388
"TRFO",18.5,19,0.226442039012909
"TRFO",19,19.5,0.222075626254082
"TRFO",19.5,20,0.195613354444504
"TRFO",20,20.5,0.20028942078352
"TRFO",20.5,21,0.146704975515604
"WTFO",0,0.5,0.269642919301986
"WTFO",0.5,1,0.233071945607662
"WTFO",1,1.5,0.204632677137851
"WTFO",1.5,2,0.195155642926693
"WTFO",2,2.5,0.210145324468613
"WTFO",2.5,3,0.221126884222031
"WTFO",3,3.5,0.196253217756748
"WTFO",3.5,4,0.201205998659134
"WTFO",4,4.5,0.203973382711411
"WTFO",4.5,5,0.171282112598419
"WTFO",5,5.5,0.217706143856049
"WTFO",5.5,6,0.196907997131347
"WTFO",6,6.5,0.211640208959579
"WTFO",6.5,7,0.206720679998398
"WTFO",7,7.5,0.210978850722313
"WTFO",7.5,8,0.200370162725449
"WTFO",8,8.5,0.211100623011589
"WTFO",8.5,9,0.174403220415115
"WTFO",9,9.5,0.198504015803337
"WTFO",9.5,10,0.205265082418918
"WTFO",10,10.5,0.198107831180096
"WTFO",10.5,11,0.213955461978912
"WTFO",11,11.5,0.190335318446159
"WTFO",11.5,12,0.173423781991005
"WTFO",12,12.5,0.152586430311203
"WTFO",12.5,13,0.190696060657501
"WTFO",13,13.5,0.263035863637924
"WTFO",13.5,14,0.151275426149369
"WTFO",14,14.5,0.171395257115364
"WTFO",14.5,15,0.194199830293655
"WTFO",15,15.5,0.209458768367767
"WTFO",15.5,16,0.181054346263409
"WTFO",16,16.5,0.155968531966209
"WTFO",16.5,17,0.145728632807732
"WTFO",17,17.5,0.194600075483322
"WTFO",17.5,18,0.141351591795683
"WTFO",18,18.5,0.16828316450119
"WTFO",18.5,19,0.237336806952954
"WTFO",19,19.5,0.187581226229668
"WTFO",19.5,20,0.222255259752274
"WTFO",20,20.5,0.155639141798019
"WTFO",20.5,21,0.159281529486179
"TEFO",0,0.5,0.284594088792801
"TEFO",0.5,1,0.227793112397194
"TEFO",1,1.5,0.210101425647736
"TEFO",1.5,2,0.195107564330101
"TEFO",2,2.5,0.193021431565285
"TEFO",2.5,3,0.192167997360229
"TEFO",3,3.5,0.178102985024452
"TEFO",3.5,4,0.183325938880444
"TEFO",4,4.5,0.17541415989399
"TEFO",4.5,5,0.177755087614059
"TEFO",5,5.5,0.188808009028435
"TEFO",5.5,6,0.179428681731224
"TEFO",6,6.5,0.174195036292076
"TEFO",6.5,7,0.17114482074976
"TEFO",7,7.5,0.179733864963054
"TEFO",7.5,8,0.184274047613144
"TEFO",8,8.5,0.183795496821404
"TEFO",8.5,9,0.181151196360588
"TEFO",9,9.5,0.179087892174721
"TEFO",9.5,10,0.186613813042641
"TEFO",10,10.5,0.204591669142246
"TEFO",10.5,11,0.225613847374916
"TEFO",11,11.5,0.239437527954579
"TEFO",11.5,12,0.243952319025994
"TEFO",12,12.5,0.228194780647755
"TEFO",12.5,13,0.248761788010597
"TEFO",13,13.5,0.221185714006424
"TEFO",13.5,14,0.236105173826218
"TEFO",14,14.5,0.225534126162529
"TEFO",14.5,15,0.22792961448431
"TEFO",15,15.5,0.206013843417168
"TEFO",15.5,16,0.198195725679398
"TEFO",16,16.5,0.192920222878456
"TEFO",16.5,17,0.178212031722069
"TEFO",17,17.5,0.196348905563354
"TEFO",17.5,18,0.179557867348194
"TEFO",18,18.5,0.186368614435196
"TEFO",18.5,19,0.190719082951546
"TEFO",19,19.5,0.211042568087578
"TEFO",19.5,20,0.159209676086903
"TEFO",20,20.5,0.151603735983372
"TEFO",20.5,21,0.156103931367397
"BOFO",0,0.5,0.158372446894646
"BOFO",0.5,1,0.132496446371078
"BOFO",1,1.5,0.128829389810562
"BOFO",1.5,2,0.122494291514158
"BOFO",2,2.5,0.129522435367107
"BOFO",2.5,3,0.127088390290737
"BOFO",3,3.5,0.124393906444311
"BOFO",3.5,4,0.125367969274521
"BOFO",4,4.5,0.128304146230221
